<TICKER>,<NAME>
2107.HK,FIRST SERVICE
2108.HK,K2 F B
211.HK,STYLAND HOLD
2110.HK,TIAN CHENG HLDG
2111.HK,BEST PACIFIC
2112.HK,GRACE LIFE TECH
2113.HK,CENTURY GP INTL
2116.HK,JS INNOV
2119.HK,TSIT WING INTL
212.HK,NANYANG HOLD
2120.HK,KN HOSPITAL
2121.HK,AINNOVATION
2122.HK,KIDSLAND INTL
2125.HK,STRAWBEAR ENT
2126.HK,JW THERAP B
2127.HK,HUISEN SHARES
2128.HK,CHINA LESSO
2129.HK,LEGION CONSO
213.HK,NATIONAL ELEC H
2130.HK,CN LOGISTICS
2131.HK,NETJOY
2132.HK,LANDRICH HLDG
2135.HK,RAILY AESMED
2136.HK,LIFESTYLE CHI
2137.HK,BRII B
2138.HK,EC HEALTHCARE
2139.HK,BANK OF GANSU
214.HK,ASIA ORIENT
2142.HK,HBM HOLDINGS B
2145.HK,CHICMAX
2146.HK,ROISERV
2147.HK,ZHENGWEI GROUP
2148.HK,VESYNC
2149.HK,BATELAB
215.HK,HUTCHTEL HK
2150.HK,NAYUKI
2152.HK,SUXIN SERVICES
2153.HK,TAT HONG EQUIP
2155.HK,MORIMATSU INTL
2156.HK,C D PROPERTY
2157.HK,LEPU BIO B
2158.HK,YIDU TECH
2159.HK,MEDIWELCOME
216.HK,CHINNEY INV
2160.HK,CARDIOFLOW B
2161.HK,JBM HEALTHCARE
2162.HK,KEYMED BIO B
2163.HK,BROAD HOMES
2165.HK,LING YUE SER GP
2166.HK,SMART CORE
2167.HK,TI CLOUD
2168.HK,KAISA PROSPER
2169.HK,CANGGANGRAILWAY
217.HK,CHINA CHENGTONG
2170.HK,BASECARE B
2171.HK,CARSGEN B
2172.HK,MICROPORT NEURO
2175.HK,CH GENERAL EDU
2176.HK,CCID CONSULTING
2177.HK,UNQ HOLDINGS
2178.HK,PETRO KING
2179.HK,RECBIO B
218.HK,SWHYHK
2180.HK,MANPOWER GRC
2181.HK,MABPHARM B
2182.HK,TIAN CHANG GP
2185.HK,BIOHEART B
2186.HK,LUYE PHARMA
2187.HK,ZHIXIN GP HLDG
2188.HK,TITANS ENERGY
2189.HK,KATO HK HLDGS
219.HK,SHUNHO PROPERTY
2190.HK,ZYLOXTB B
2191.HK,SF REIT
2192.HK,MEDLIVE
2193.HK,MAN KING HOLD
2195.HK,UNITY ENT
2196.HK,FOSUN PHARMA
2197.HK,CLOVER BIO B
2198.HK,CHINA SANJIANG
2199.HK,REGINA MIRACLE
22.HK,MEXAN
220.HK,U PRESID CHINA
2202.HK,CHINA VANKE
2203.HK,BRAINHOLE TECH
2205.HK,KANGQIAO SER
2208.HK,GOLDWIND
2209.HK,YESASIA HLDGS
2210.HK,BEIJING JIAYE
2211.HK,UNI HEALTH
2212.HK,FB MINING
2215.HK,DEXIN SER GROUP
2216.HK,BRONCUS B
2217.HK,TAM JAI INTL
2218.HK,ANDRE JUICE
2219.HK,CHAOJU EYE CARE
222.HK,MIN XIN HOLD
2221.HK,NEW CONCEPTS
2222.HK,NVC INTL
2223.HK,CASABLANCA
2225.HK,JINHAI MED TECH
2226.HK,HONWORLD GP
2227.HK,SOLIS HOLDINGS
2228.HK,XTALPI
223.HK,ELIFE HLDGS
2230.HK,MEDIALINK GROUP
2231.HK,JY GRANDMARK
2232.HK,CRYSTAL INTL
2233.HK,WESTCHINACEMENT
2235.HK,MICROTECH MED B
2236.HK,WISON ENGRG
2237.HK,CHINA GRAPHITE
2238.HK,GAC GROUP
2239.HK,SMIT
224.HK,PIONEER GLOBAL
2245.HK,LYGEND RESOURCE
2246.HK,GOGOX
225.HK,POKFULAM
2250.HK,BDUCK SEMK
2251.HK,AIRDOC B
2252.HK,MEDBOT B
2255.HK,HAICHANG HLDG
2256.HK,ABBISKO B
2257.HK,SIRNAOMICS B
2258.HK,WATTS INTL
226.HK,LIPPO
2260.HK,VANOV HOLDINGS
2262.HK,SLD GROUP
2263.HK,FU SHEK FIN
2265.HK,HC ENV TECH
2266.HK,LAI SI ENT
2268.HK,WUXI XDC
2269.HK,WUXI BIO
227.HK,FIRST SHANGHAI
2270.HK,DESUN SERVICES
2271.HK,ZHONGAN SERVICE
2273.HK,GUSHENGTANG
2276.HK,CONANT OPTICAL
2279.HK,YONGHE MEDICAL
228.HK,CHINA ENERGY
2280.HK,HC GROUP
2281.HK,XINGLU WATER
2282.HK,MGM CHINA
2283.HK,TK GROUP HLDG
2285.HK,CHERVON
2286.HK,CHEN XING
2288.HK,RYKADAN CAPITAL
2289.HK,CHARMACY PHAR
229.HK,RAYMOND IND
2291.HK,SCIENTECH
2292.HK,THING ON ENT
2293.HK,BAMBOOSHEALTH
2295.HK,MAXICITY
2297.HK,RAINMED B
2298.HK,COSMO LADY
2299.HK,BILLION IND
23.HK,BANK OF E ASIA
230.HK,MINMETALS LAND
2302.HK,CNNC INTL
2306.HK,YH ENT
2307.HK,KAM HING INTL
2309.HK,ZO FUTURE GROUP
2310.HK,TIMES UNI GP
2312.HK,CH FIN LEASING
2313.HK,SHENZHOU INTL
2314.HK,LEE MAN PAPER
2315.HK,BIOCYTOGEN B
2317.HK,VEDAN INTL
2318.HK,PING AN
2319.HK,MENGNIU DAIRY
232.HK,CON AERO TECH
2320.HK,HOP FUNG GROUP
2321.HK,SWANGCHAICHUAN
2322.HK,MODERN INNO DT
2323.HK,RENCO HOLDINGS
2324.HK,CAPITAL VC
2325.HK,YUNKANG GROUP
2326.HK,NPE HOLDINGS
2327.HK,MEILLEUREHEALTH
2328.HK,PICC P C
2329.HK,GLORY HEALTH
2330.HK,CHINA UPTOWN
2331.HK,LI NING
2333.HK,GWMOTOR
2336.HK,SHUOAO INTL
2337.HK,UNITED STRENGTH
2338.HK,WEICHAI POWER
2339.HK,BWI INTL
234.HK,NEW CENTURY GP
2340.HK,ISP HOLDINGS
2342.HK,COMBA
2343.HK,PACIFIC BASIN
2347.HK,YOHO GROUP
2348.HK,DAWNRAYS PHARMA
2349.HK,CH CITY INFRA
235.HK,CSC HOLDINGS
2350.HK,MTT GROUP
2352.HK,DOWELL SERVICE
2355.HK,BAOYE GROUP
2356.HK,DAHSING BANKING
2357.HK,AVICHINA
2358.HK,JIU RONG HOLD
2359.HK,WUXI APPTEC
236.HK,SAN MIGUEL HK
2360.HK,BEST MART 360
2361.HK,SINOHEALTH HLDG
2362.HK,JINCHUAN INTL
2363.HK,TONGDA HONG TAI
2367.HK,GIANT BIOGENE
2368.HK,EAGLE NICE
2369.HK,COOLPAD GROUP
237.HK,SAFETY GODOWN
2370.HK,REDCO HEALTHY
2371.HK,CHUANGLIAN HOLD
2372.HK,WEILI HOLDINGS
2373.HK,BEAUTYFARM MED
2376.HK,LUSHANGSERVICES
2377.HK,BOQI ENV
2378.HK,PRU
2380.HK,CHINA POWER
2381.HK,SMC ELECTRIC
2382.HK,SUNNY OPTICAL
2383.HK,TOM GROUP
2385.HK,READBOY
2386.HK,SINOPEC SEG
2388.HK,BOC HONG KONG
2389.HK,BJ HEALTH
239.HK,PAK FAH YEOW
2390.HK,ZHIHU W
2391.HK,TUYA W
2392.HK,XUANWU CLOUD
2393.HK,YESTAR HEALTH
2399.HK,CN ANCHU ENERGY
240.HK,BUILD KING HOLD
2400.HK,XD INC
2402.HK,SINOHYTEC
2405.HK,POWERWIN TECH
2407.HK,GAUSH MEDITECH
2409.HK,SEACON
241.HK,ALI HEALTH
2410.HK,TYK MEDICINES B
2411.HK,PAGODA GP
2415.HK,MEDSCI
2416.HK,EDIANYUN
2418.HK,DEEWIN
2419.HK,DEKON AGR
242.HK,SHUN TAK HOLD
2420.HK,ZIBUYU
2421.HK,KRP DEVELOPMENT
2422.HK,REGO INTERACT
2423.HK,BEKE W
2425.HK,AUSTASIA GROUP
2427.HK,GUANZE MEDICAL
2429.HK,UBOX ONLINE
243.HK,QPL INTL
2431.HK,MINIEYE
2432.HK,DOBOT
2433.HK,ZT HN GROUP
2436.HK,LX TECHNOLOGY
2438.HK,MOBVOI
2439.HK,CH TREASURES NM
244.HK,SINCERE
2440.HK,HOWKINGTECH
2442.HK,EASY SMART GP
2443.HK,AUTOSTREETS
2448.HK,SPACE GROUP
245.HK,CHINA VERED FIN
2450.HK,HUAIBEI GD CO
2451.HK,LUYUAN GP HLDG
2453.HK,CONCORD HC GP
2455.HK,RUNHUA SERVICE
2457.HK,BUYANG INTL
2458.HK,GALA TECH HOLD
2459.HK,SANERGY GROUP
2460.HK,CR BEVERAGE
2461.HK,SYNAGISTICS W29
2465.HK,LOPAL TECH
2469.HK,FENBI
247.HK,TST PROPERTIES
2473.HK,XXF
2477.HK,WELLCELL H NEW
2478.HK,APAC RES W2712
2479.HK,TIANJUDIHE
248.HK,HKC INTL HOLD
2480.HK,LUZHU BIOTECH B
2481.HK,WISE LIVING TEC
2482.HK,LOGORY
2483.HK,K CASH
2486.HK,PLUS GP HOLDING
2487.HK,CUTIA B
2488.HK,LAUNCH TECH
2489.HK,PERSISTENCE RES
2490.HK,LC LOGISTICS
2495.HK,VOICECOMM
2496.HK,YZYBIO B
2497.HK,FUJING HOLDINGS
2498.HK,ROBOSENSE
2499.HK,FOLANGSI
25.HK,CHEVALIER INTL
2500.HK,VENUS MEDTECH B
2501.HK,MAIYUE TECH
2502.HK,JINYUAN HCHEM
2503.HK,ZHONGSHENJIANYE
2505.HK,EDA GROUP HLDGS
2506.HK,XUNFEIHEALTH
2507.HK,CIRRUS
2509.HK,QYUNS B
251.HK,SEA HOLDINGS
2510.HK,TS LINES
2511.HK,HIGHTIDE B
2512.HK,CLOUD FACTORY
2515.HK,TJCD
2516.HK,FAR INTL
2517.HK,GUOQUAN
2518.HK,AUTOHOME S
2519.HK,AUGROUP
252.HK,SE ASIA PPT
2520.HK,SHANXI INSTALL
2521.HK,SHENGHUI CLEAN
2522.HK,RIMAG GROUP
2528.HK,FW FASHION INT
2529.HK,HOLLWIN URBAN
253.HK,SHUNHO HOLDINGS
2530.HK,NUMANS
2531.HK,CARLINK TECH
2533.HK,BLACK SESAME
2535.HK,WK GROUP
2536.HK,PALASINO
254.HK,NUR HOLDINGS
2540.HK,LESI GROUP
2545.HK,ZHONGGAN COMM
2549.HK,CAROTE LTD
255.HK,LUNG KEE
2550.HK,EASOU TECH
2551.HK,APT ELECTRONICS
2552.HK,HUA MEDICINE B
2555.HK,CHABAIDAO
2556.HK,MARKETINGFORCE
2558.HK,JINSHANG BANK
2559.HK,DIDA INC
256.HK,CITYCHAMP
2560.HK,CONCH MAT TECH
2561.HK,VISEN PHARMA B
2562.HK,SYNAGISTICS
2563.HK,BIOSTAR PHARM B
2566.HK,JIUYUAN GENE
2567.HK,QINIU
2569.HK,SOFT INTL
257.HK,EB ENVIRONMENT
2570.HK,REFIRE
2571.HK,SAIMO
2572.HK,ZG GROUP W30
2576.HK,TAIMEI TECH
2577.HK,INNOSCIENCE
258.HK,TOMSON GROUP
2582.HK,GUOFUHEE
2585.HK,MOKINGRAN
2586.HK,DMALL
2587.HK,HEALTHYWAY INC
2588.HK,BOC AVIATION
259.HK,YEEBO INTL H
2593.HK,HERBS GROUP
2596.HK,YIBIN BANK
2598.HK,LIANLIAN
26.HK,CHINA MOTOR BUS
2600.HK,CHALCO
2601.HK,CPIC
2602.HK,ONEWO
2607.HK,SH PHARMA
2608.HK,SUNSHINE 100
261.HK,GBA HOLDING NEW
2610.HK,NANSHAN AL INTL
2611.HK,GTJA
2612.HK,CSI PPT W2704
2613.HK,CONTIOCEAN
2616.HK,CSTONE PHARMA B
2618.HK,JD LOGISTICS
262.HK,DESON DEV INTL
2623.HK,ADD NEW ENERGY
2625.HK,JIANGSU HORIZON
2628.HK,CHINA LIFE
2633.HK,JACOBSON PHARMA
2638.HK,HKELECTRIC SS
264.HK,CN INT DEV CORP
265.HK,GANGYU SERVICES
266.HK,TIAN TECK LAND
2660.HK,ZENGAME
2663.HK,KPA BM HLDGS
2666.HK,UNI MEDICAL
2668.HK,PAK TAK INTL
2669.HK,CHINA OVS PPT
267.HK,CITIC
2678.HK,TEXHONG INTL GP
268.HK,KINGDEE INTL
2680.HK,INNOVAX HLDGS
2682.HK,YUN LEE MARINE
2683.HK,WAHSUN HANDBAGS
2688.HK,ENN ENERGY
2689.HK,ND PAPER
269.HK,CRTG
2696.HK,HENLIUS
2699.HK,XINMING CHINA
27.HK,GALAXY ENT
270.HK,GUANGDONG INV
2700.HK,GREEN INTL HLDG
2708.HK,IBO TECH
271.HK,ASIASEC PPT
272.HK,SHUI ON LAND
2722.HK,CHONGQING M E
2727.HK,SH ELECTRIC
2728.HK,JINTAI ENERGY H
2738.HK,HUAJIN INTL
274.HK,RA SILKROAD NEW
276.HK,MONGOLIA ENERGY
277.HK,TERN PROPERTIES
2772.HK,ZHONGLIANG HLDG
2777.HK,R F PROPERTIES
2778.HK,CHAMPION REIT
2779.HK,CH XINHUA EDU
2789.HK,YUANDA CHINA
279.HK,ARTA TECHFIN
2798.HK,PER ENERGY
2799.HK,CITIC FAMC
28.HK,TIAN AN
280.HK,KING FOOK HOLD
285.HK,BYD ELECTRONIC
2858.HK,YIXIN
286.HK,AIDIGONG
2863.HK,GOLDEN FAITH GP
2866.HK,COSCO SHIP DEV
2869.HK,GREENTOWN SER
287.HK,WINFAIR INV
2877.HK,SHINEWAY PHARM
2878.HK,SOLOMON SYSTECH
288.HK,WH GROUP
2880.HK,LIAONING PORT
2881.HK,WUHAN YOUJI
2882.HK,3DG HOLDINGS
2883.HK,CHINA OILFIELD
2885.HK,PEIPORT HOLD
2886.HK,BINHAI INV
2888.HK,STANCHART
289.HK,WING ON CO
2892.HK,MILLION CITIES
2898.HK,SUNHO BIO B
2899.HK,ZIJIN MINING
29.HK,DYNAMIC HOLD
290.HK,GOFINTECH QUANT
291.HK,CHINA RES BEER
293.HK,CATHAY PAC AIR
294.HK,YANGTZEKIANG
295.HK,KONG SUN HOLD
2950.HK,CSI PPT OLD
2951.HK,DEVGREAT OLD
2952.HK,LUXXU GROUP OLD
2953.HK,GBA HOLDING OLD
2954.HK,RA SILKROAD OLD
2955.HK,CSI PPT RTS
2956.HK,GRAPHEX GP OLD
2957.HK,CROWNICORP OLD
2958.HK,LUXXU GROUP RTS
2959.HK,WAN KEI GP RTS
296.HK,EMPEROR E HOTEL
2960.HK,FIRE ROCK OLD
2961.HK,WELLCELL H OLD
2962.HK,EPI HOLD OLD
2963.HK,TIMEINTERCON 8K
2964.HK,YUES INTL H RTS
2965.HK,GRAPHEX GP RTS
2966.HK,CMRU
297.HK,SINOFERT
298.HK,CHUANGS CHINA
299.HK,GLORY SUN LAND
3.HK,HK CHINA GAS
30.HK,YNBY INTL
300.HK,MIDEA GROUP
301.HK,SANVO CHEMICALS
302.HK,CMGE
303.HK,VTECH HOLDINGS
305.HK,WULING MOTORS
306.HK,KWOON CHUNG BUS
308.HK,CHINA TRAVEL HK
309.HK,XH NEWS MEDIA
31.HK,CHINA AEROSPACE
310.HK,PROSP INV HOLD
311.HK,LUEN THAI
312.HK,SHIRBLE STORE
313.HK,RICHLY FIELD
314.HK,SIPAI HEALTH
315.HK,SMARTONE TELE
316.HK,OOIL
317.HK,COMEC
318.HK,VONGROUP
32.HK,CROSS HAR HOLD
320.HK,COMPUTIME
321.HK,TEXWINCA HOLD
322.HK,TINGYI
323.HK,MAANSHAN IRON
325.HK,BLOKS
326.HK,CHINA STAR ENT
327.HK,PAX GLOBAL
328.HK,ALCO HOLDINGS
329.HK,OCI INTL
33.HK,INTL GENIUS
330.HK,ESPRIT HOLDINGS
3300.HK,CHINA GLASS
3301.HK,RONSHINECHINA
3302.HK,KINERGY
3303.HK,JUTAL OIL SER
3306.HK,JNBY
3309.HK,C MER MEDICAL
331.HK,FSE LIFESTYLE
3311.HK,CHINA STATE CON
3313.HK,ARTGO HOLDINGS
3315.HK,GOLDPAC GROUP
3316.HK,BINJIANG SER
3318.HK,CHINA BOTON
3319.HK,A LIVING
332.HK,YUANHENG GAS
3320.HK,CHINARES PHARMA
3321.HK,WAI HUNG GROUP
3322.HK,WIN HANVERKY
3323.HK,CNBM
3326.HK,PERFECT GROUP
3328.HK,BANKCOMM
3329.HK,BOCOM INTL
333.HK,TOP FORM INTL
3330.HK,LINGBAO GOLD
3332.HK,SINOLIFE UTD
3333.HK,EVERGRANDE
3336.HK,JU TENG INTL
3337.HK,ANTON OILFIELD
3339.HK,LONKING
334.HK,CH DISPLAY OPT
3347.HK,TIGERMED
3348.HK,CHINA PENGFEI
335.HK,UPBEST GROUP
336.HK,HUABAO INTL
3360.HK,FE HORIZON
3363.HK,ZHENGYE INTL
3366.HK,OCT ASIA
3368.HK,PARKSON GROUP
3369.HK,QHD PORT
337.HK,GREENLAND HK
3377.HK,SINO OCEAN GP
338.HK,SHANGHAI PECHEM
3380.HK,LOGAN GROUP
3382.HK,TIANJINPORT DEV
3383.HK,AGILE GROUP
3389.HK,HENGDELI
339.HK,CN SCI TECH IND
3390.HK,TYCOON GROUP
3393.HK,WASION HOLDINGS
3395.HK,JX ENERGY
3396.HK,LEGENDHOLDING
3398.HK,CHINA TING
3399.HK,YUEYUN TRANS
34.HK,KOWLOON DEV
340.HK,TONGGUAN GOLD
3401.HK,GX AI INFRA
3402.HK,GX G2TECH
3403.HK,CAM HSI ESG
3404.HK,CAM MSCIINDIA
3405.HK,FB ASIA EGY STR
341.HK,CAFE DE CORAL H
3410.HK,HS JAPAN TPX100
3411.HK,PP ASIA IGUSD
3412.HK,A DOO PAYMENTS
3413.HK,A DOO AI
3416.HK,A GX HSCEICC
3417.HK,A GX HSTCC
3419.HK,A GX HSICC
3422.HK,GX INNO TOP 10
3423.HK,CMS HS TECH
3426.HK,A DOO WEB3
3427.HK,FB MULTIASSET
343.HK,CULTURECOM HOLD
3432.HK,CSOP HKCNCON
3433.HK,CSOP UST20
3435.HK,HSCMS 7 10Y UST
3436.HK,HSCMS 1 3Y UST
3437.HK,BOS CSOE HIDV
3439.HK,HGI BTC
3440.HK,GX 0 3M UST
3441.HK,CSOP EWSELECT
3442.HK,CSOP HKUSTECH
345.HK,VITASOY INTL
3450.HK,GX 3 5Y UST
3453.HK,PREMIA TW50
3454.HK,CSOP MAG7
3455.HK,INVESCO QQQ
346.HK,YANCHANG PETRO
3466.HK,HS HIGH DIV
347.HK,ANGANG STEEL
3470.HK,GX GREATERCHINA
348.HK,CHINAHEALTHWISE
35.HK,FE CONSORT INTL
351.HK,ASIA ENERGY LOG
352.HK,FORTUNE SUN
353.HK,ENERGY INTINV
354.HK,CHINASOFT INTL
355.HK,CENTURY C INTL
356.HK,DT CAPITAL
357.HK,MEILAN AIRPORT
358.HK,JIANGXI COPPER
36.HK,FE HLDGS INTL
360.HK,NEW FOCUS AUTO
3600.HK,MODERN DENTAL
3601.HK,LUDASHI
3603.HK,XINJI SHAXI
3606.HK,FUYAO GLASS
361.HK,SINO GOLF HOLD
3613.HK,TONGRENTANGCM
3616.HK,EVER REACH GP
3618.HK,CQRC BANK
362.HK,C ZENITH CHEM
3623.HK,C SUCCESS FIN
3626.HK,HSSP INTL
3628.HK,RENHENG ENT
363.HK,SHANGHAI IND H
3633.HK,ZHONGYU ENERGY
3638.HK,HUNLICAR GROUP
3639.HK,YIDA CHINA
365.HK,SINO ICT
3650.HK,KEEP
3658.HK,NEW HOPE SERV
366.HK,LUKS GROUP VN
3660.HK,QFIN S
3662.HK,STARJOY W T
3666.HK,SHANGHAI XNG
3668.HK,YANCOAL AUS
3669.HK,YONGDA AUTO
367.HK,CHUANGS INTL
3677.HK,ZENERGY
3678.HK,HOLLY FUTURES
368.HK,SUPERLAND GROUP
3680.HK,RUIHE DATA
3681.HK,SINOMAB BIO B
3683.HK,GREAT HARVEST
3686.HK,CLIFFORDML
3688.HK,TOP SPRING
3689.HK,KANGHUA HEALTH
369.HK,WING TAI PPT
3690.HK,MEITUAN W
3692.HK,HANSOH PHARMA
3698.HK,HUISHANG BANK
3699.HK,EB GRAND CHINA
37.HK,FE HOTELS
370.HK,CHINA BEST
3700.HK,INKEVERSE
3708.HK,CH SUPPLY CHAIN
3709.HK,EEKA FASHION
371.HK,BJ ENT WATER
3718.HK,BJ ENT URBAN
372.HK,PT INTL DEV
3728.HK,CHING LEE
373.HK,ALLIED GROUP
3737.HK,ZHONGZHIPHARM
3738.HK,VOBILE GROUP
374.HK,FOUR SEAS MER
375.HK,YGM TRADING
3759.HK,PHARMARON
376.HK,YUNFENG FIN
3768.HK,DCWT
377.HK,CHINA HUAJUN GP
3773.HK,YS DIGIFAVOR
3778.HK,CHINA WEAVING
3788.HK,CHINA HANKING
3789.HK,ROYAL DELUXE
379.HK,EG LEASING
3798.HK,HOMELAND ITL
38.HK,FIRST TRACTOR
380.HK,CHINA PIPE
3800.HK,GCL TECH
3808.HK,SINOTRUK
381.HK,AOM INTL
3813.HK,POU SHENG INTL
3816.HK,KFM KINGDOM
3818.HK,CHINA DONGXIANG
382.HK,EDVANTAGE GROUP
3822.HK,SAM WOO CONS
3828.HK,MING FAI INTL
383.HK,TIANAN MEDICARE
3830.HK,KIDDIELAND
3833.HK,XINXIN MINING
3836.HK,HARMONY AUTO
3838.HK,CHINA STARCH
3839.HK,CT ENTERPRISE
384.HK,CHINA GAS HOLD
3848.HK,HAOSEN FINTECH
385.HK,CHINNEY ALLI
386.HK,SINOPEC CORP
3860.HK,EPS HEALTH TECH
3866.HK,BQD
3868.HK,XINYI ENERGY
3869.HK,HOSPITAL CORP
387.HK,LEEPORT HOLD
3877.HK,CSSC SHIPPING
3878.HK,VICON HOLDINGS
388.HK,HKEX
3882.HK,SKYLIGHT HLDG
3883.HK,CHINA AOYUAN
3886.HK,TOWN HEALTH
3888.HK,KINGSOFT
3889.HK,GLOBAL SWEET
389.HK,TONTINE WINES
3893.HK,CROSSTEC
3896.HK,KINGSOFT CLOUD
3898.HK,TIMES ELECTRIC
3899.HK,CIMC ENRIC
39.HK,CH BEIDAHUANG
390.HK,CHINA RAILWAY
3900.HK,GREENTOWN CHINA
3903.HK,HANHUA FIN
3908.HK,CICC
391.HK,MEI AH ENTER
3913.HK,KWG LIVING
3918.HK,NAGACORP
3919.HK,GOLDENPOWER
392.HK,BEIJING ENT
3928.HK,CHINA NEXT GEN
393.HK,GLORIOUS SUN
3931.HK,CALB
3933.HK,UNITED LAB
3938.HK,LFG INV HLDGS
3939.HK,WANGUO GOLD GP
3958.HK,DFZQ
396.HK,HING LEE HK
3963.HK,RONGZHONG FIN
3968.HK,CM BANK
3969.HK,CHINA CRSC
397.HK,MINERVA GROUP
3978.HK,BESTSTUDY EDU
398.HK,ORIENTAL WATCH
3983.HK,CHINA BLUECHEM
3988.HK,BANK OF CHINA
3989.HK,CAPITAL ENV
399.HK,INNOVATIVE PHAR
3990.HK,MIDEA REAL EST
3991.HK,CHANGHONG JH
3993.HK,CMOC
3996.HK,CH ENERGY ENG
3997.HK,TSO
3998.HK,BOSIDENG
3999.HK,DACHAN FOOD
4.HK,WHARF HOLDINGS
40.HK,GOLD PEAK
400.HK,INGDAN
401.HK,WANJIA GROUP
403.HK,STARLITE HOLD
405.HK,YUEXIU REIT
406.HK,YAU LEE HOLD
408.HK,YIPS CHEMICAL
41.HK,GREAT EAGLE H
410.HK,SOHO CHINA
411.HK,LAM SOON HK
412.HK,SDHG
413.HK,SC HOLDINGS
417.HK,TSE SUI LUEN
418.HK,FOUNDER HOLD
419.HK,HONY MEDIA
42.HK,NE ELECTRIC
420.HK,FOUNTAIN SET
422.HK,VMEP HOLDINGS
423.HK,HKET HOLDINGS
425.HK,MINTH GROUP
426.HK,ONE MEDIA GROUP
428.HK,COCOON HOLDINGS
430.HK,ORIENTAL EXPL
431.HK,G CHINA FIN
432.HK,PCPD
433.HK,NORTH MINING
434.HK,BOYAA
435.HK,SUNLIGHT REIT
436.HK,NU ENVIRO
438.HK,IRICO NEWENERGY
439.HK,KUANGCHI
440.HK,DAH SING
442.HK,DOMAINE POWER
444.HK,SINCEREWATCH HK
45.HK,HK S HOTELS
450.HK,HUNG HING PRINT
451.HK,GCL NEWENERGY
455.HK,TIANDA PHARMA
456.HK,NEW CITY DEV
458.HK,TRISTATE HOLD
459.HK,LEGEND UPSTAR
46.HK,COMPUTER TECH
460.HK,SIHUAN PHARM
464.HK,CHINA IN TECH
465.HK,FUTONG TECH
467.HK,UNITEDENERGY GP
468.HK,GAPACK
4701.HK,AIR AUTH B2608
471.HK,SILKWAVE INC
472.HK,NEW SILKROAD
474.HK,ACESO LIFE SCI
475.HK,CENTRAL DEV H
476.HK,EV DYNAMICS
48.HK,C AUTO INT DECO
480.HK,HKR INTL
482.HK,SANDMARTIN INTL
483.HK,BAUHAUS INTL
484.HK,FORGAME
485.HK,CHINASINOSTAR
4855.HK,TECHSTARACQ Z25
486.HK,RUSAL
487.HK,SUCCESSUNIVERSE
488.HK,LAI SUN DEV
489.HK,DONGFENG GROUP
491.HK,EMPEROR CULTURE
493.HK,GOME RETAIL
495.HK,PALADIN
49500.HK,UB#NQ100RP2612P
49501.HK,SG#S P RP2812A
49502.HK,SG#NQ100RP2812B
49503.HK,SG#NQ100RP2812C
49504.HK,SG#DJIA RP2812A
49506.HK,JP#S P RC2512A
49507.HK,JP#NQ100RC2512A
49508.HK,JP#DJIA RC2509A
49509.HK,JP#DJIA RC2512A
49510.HK,JP#S P RC2509A
49511.HK,JP#DJIA RP2612C
49512.HK,JP#NQ100RP2612L
49513.HK,SG#S P RC2509B
49514.HK,SG#NQ100RP2812D
49515.HK,SG#NQ100RC2509B
49516.HK,SG#NQ100RC2509C
49517.HK,SG#DJIA RP2812B
49518.HK,MS#DJIA RP2612F
49521.HK,MS#NQ100RP2612I
49522.HK,MS#NQ100RC2509C
49523.HK,MS#NQ100RC2509D
49524.HK,MS#S P RP2612E
49525.HK,MS#S P RC2509A
49526.HK,SG#S P RP2812B
49527.HK,SG#NQ100RP2812E
49528.HK,SG#NQ100RP2812F
49530.HK,SG#S P RP2812C
49531.HK,SG#S P RC2509C
49532.HK,SG#S P RC2509D
49533.HK,SG#NQ100RP2812G
49534.HK,SG#NQ100RC2509D
49535.HK,SG#NQ100RC2509E
49536.HK,SG#DJIA RP2812C
49537.HK,SG#DJIA RC2509D
49538.HK,SG#DJIA RC2509E
49539.HK,UB#DJIA RP2812A
49540.HK,UB#DJIA RP2812B
49541.HK,UB#DJIA RC2512A
49542.HK,UB#NQ100RC2509A
49543.HK,UB#NQ100RC2512A
49544.HK,UB#NQ100RP2812A
49545.HK,UB#NQ100RP2812B
49546.HK,SG#S P RC2512A
49547.HK,UB#NQ100RP2812C
49548.HK,SG#S P RP2812D
49550.HK,SG#NQ100RP2812I
49551.HK,SG#NQ100RC2509F
49552.HK,SG#DJIA RP2812D
49553.HK,BP#NQ100RC2512B
49554.HK,BP#NQ100RC2512C
49555.HK,SG#DJIA RP2812E
49557.HK,JP#NQ100RC2512B
49558.HK,JP#NQ100RP2612M
49559.HK,JP#NQ100RC2509B
49560.HK,JP#S P RP2612E
49561.HK,JP#DJIA RC2509B
49562.HK,JP#DJIA RP2612D
49563.HK,UB#NQ100RC2509B
49564.HK,SG#DJIA RC2512A
49567.HK,HS#NQ100RP2612L
49568.HK,HS#NQ100RC2509B
49570.HK,SG#NQ100RP2812K
49572.HK,MS#DJIA RP2612H
49574.HK,MS#NQ100RP2612J
49576.HK,MS#S P RP2612F
49579.HK,UB#NQ100RP2812D
49583.HK,SG#S P RC2512B
49584.HK,SG#NQ100RC2512B
49585.HK,SG#DJIA RC2512B
49586.HK,SG#DJIA RC2512C
49587.HK,SG#DJIA RC2512D
49588.HK,SG#DJIA RC2512E
49589.HK,SG#DJIA RC2512F
49590.HK,SG#NQ100RC2512C
49591.HK,SG#NQ100RC2512D
